theta_id,scale,mass_min,mass_max,success,lo,hi,n,reach_failure,lifted,palm,contacts,hold,hash,wall_s,csv,time
16,2.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,0.9500,7.040,500.0,ca2c1e7d487b0d45,42,results/bo/partB/probe_passes/probe_t16_s2.0.csv,17:53:12
17,2.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,0.9900,5.530,500.0,cfcc60f65115cc7d,42,results/bo/partB/probe_passes/probe_t17_s2.0.csv,17:53:58
18,2.0,,,0.9900,0.9455,0.9982,100,0.0000,1.0000,1.0000,5.770,495.8,1a7e03c4304aee68,42,results/bo/partB/probe_passes/probe_t18_s2.0.csv,17:54:44
19,2.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,6.080,500.0,139b42440085e70a,42,results/bo/partB/probe_passes/probe_t19_s2.0.csv,17:55:29
0,3.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,7.100,500.0,bb07fd9857a237f2,42,results/bo/partB/probe_passes/probe_t00_s3.0.csv,17:56:15
1,3.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,6.630,500.0,0fad6a956e82bf81,42,results/bo/partB/probe_passes/probe_t01_s3.0.csv,17:57:01
2,3.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,6.270,500.0,98d5f391d54d9b00,42,results/bo/partB/probe_passes/probe_t02_s3.0.csv,17:57:47
3,3.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,0.9700,5.770,500.0,ab14cf0e58cf8bf1,42,results/bo/partB/probe_passes/probe_t03_s3.0.csv,17:58:33
4,3.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,7.700,500.0,4a84cccbe9102ba0,42,results/bo/partB/probe_passes/probe_t04_s3.0.csv,17:59:19
5,3.0,,,0.8500,0.7672,0.9069,100,0.0200,0.9200,0.7400,3.620,434.1,2aa245a6d32b1f9d,47,results/bo/partB/probe_passes/probe_t05_s3.0.csv,18:00:10
6,3.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,5.840,500.0,e49d764e2360fec4,42,results/bo/partB/probe_passes/probe_t06_s3.0.csv,18:00:56
7,3.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,0.9600,4.310,500.0,7abcd9c132deaea2,42,results/bo/partB/probe_passes/probe_t07_s3.0.csv,18:01:42
8,3.0,,,0.9900,0.9455,0.9982,100,0.0000,1.0000,0.9900,4.760,495.0,9f22c4e876400454,42,results/bo/partB/probe_passes/probe_t08_s3.0.csv,18:02:28
9,3.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,5.590,500.0,653d883d4e1fae9f,42,results/bo/partB/probe_passes/probe_t09_s3.0.csv,18:03:14
10,3.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,4.660,500.0,45e530a5f2329b72,42,results/bo/partB/probe_passes/probe_t10_s3.0.csv,18:04:00
