episode,seed,success,endReason,steps,transitionStep,stepsToLift,holdSteps,holdNeeded,pulses,maxPulseN,contacts,distinctFingers,thumb,palm,forearm,mass,perturbScale,mu,maxPenMm,gripTorqueMean,retShaping,retPhase,retHold,retBonus,retDrop,lenMean,lenIndex,lenMiddle,lenRing,lenPinky,lenThumb,kFingerMean,zetaMean,inertiaScaleMean,activeGroups,mask,handSpanRatio,dtMs,pulseStep1,pulseStep2,pulseStep3,lastPulseStep,pulseActiveAtDrop,head_mode,maxStepTimeout,academyStepAtBegin,phaseAtBegin,warmupSteps
48,6048,1,success,605,95,106,500,500,3,6.80,3,2,1,1,0,0.464,1.00,1.00,2.54,0.463,0.7006,0.10,0.200,1.00,0.00,1.074,1.163,0.870,1.191,1.163,0.986,1.944,0.659,1.433,13,11111111111101,1.065,10.0,63,214,364,364,0,sampled,0,28841,1,1
49,6049,0,drop,368,289,306,62,500,0,0.00,6,3,1,1,0,1.130,1.00,1.00,4.57,1.039,0.9295,0.10,0.200,0.00,-0.20,0.918,0.858,0.874,0.865,0.801,1.192,0.865,0.614,1.379,11,11101110101111,0.944,10.0,474,492,357,-1,0,sampled,0,29446,6,1
50,6050,0,maxStep,5000,-1,-1,0,500,0,0.00,0,0,0,1,1,0.348,1.00,1.00,0.00,0.000,-0.0264,0.00,0.000,0.00,0.00,0.997,1.186,0.903,0.834,0.880,1.184,1.582,0.625,1.306,12,11101111110111,1.074,10.0,-1,-1,-1,-1,0,sampled,1,29814,4,1
51,6051,0,maxStep,5000,-1,-1,0,500,0,0.00,2,1,1,1,0,0.752,1.00,1.00,4.18,3.568,0.7116,0.00,0.000,0.00,0.00,0.942,1.051,1.048,0.886,0.907,0.816,1.860,0.688,1.357,8,00101100101111,1.020,10.0,-1,-1,-1,-1,0,sampled,1,34814,4,1
52,6052,1,success,958,458,459,500,500,3,3.37,6,2,1,1,0,0.234,1.00,1.00,6.44,0.979,0.9069,0.10,0.200,1.00,0.00,0.954,0.884,0.994,0.842,0.929,1.122,0.886,0.644,1.186,7,11010110010010,0.954,10.0,390,213,34,390,0,sampled,0,39814,4,1
53,6053,0,drop,63,51,52,11,500,0,0.00,0,0,0,0,0,0.572,1.00,1.00,2.15,0.123,0.1184,0.10,0.044,0.00,-0.20,0.921,0.933,0.936,1.001,0.861,0.874,1.743,0.665,1.248,10,11101111010011,0.973,10.0,25,303,50,-1,0,sampled,0,40772,2,1
54,6054,1,success,886,386,387,500,500,3,18.20,4,3,1,1,0,1.317,1.00,1.00,4.48,1.622,0.9100,0.10,0.200,1.00,0.00,1.039,1.188,0.997,0.990,1.057,0.964,1.281,0.649,1.302,11,11011111101110,1.074,10.0,336,79,346,346,0,sampled,0,40835,5,1
55,6055,1,success,619,118,120,500,500,3,5.30,4,2,1,1,0,0.379,1.00,1.00,2.82,2.513,0.8872,0.10,0.200,1.00,0.00,0.939,1.021,0.883,0.977,0.844,0.971,1.420,0.703,1.400,13,11101111111111,1.008,10.0,8,277,307,307,0,sampled,0,41721,1,1
56,6056,1,success,589,86,90,500,500,3,12.99,7,2,1,1,0,0.936,1.00,1.00,4.48,4.475,0.8782,0.10,0.200,1.00,0.00,0.890,0.806,0.901,0.875,0.877,0.992,2.117,0.615,1.299,13,11101111111111,0.923,10.0,7,311,308,311,0,sampled,0,42340,0,1
57,6057,1,success,586,75,87,500,500,3,3.64,4,2,1,1,0,0.288,1.00,1.00,3.25,4.506,0.7308,0.10,0.200,1.00,0.00,0.951,0.812,1.131,0.979,0.824,1.009,1.329,0.685,1.336,14,11111111111111,0.926,10.0,387,406,457,457,0,sampled,0,42929,9,1
