arm,idx,phase,key,feasible,objective,pass_given_hold,success_rate,palm_contact_rate,mean_contacts,lenMean,lenThumb,active,mask,omegaActiveMean,zetaActiveMean,inertiaActiveMean,oracle_gate_step,oracle_max_contacts,oracle_push_mm,acq,ei,p_feasible,origin
bo,55,bo,dcca7c5cd3b1,True,1,1,1,0,7.2,1.0143,0.870,10,10111001110111,26.19,0.691,1.213,30,7,16.0,0.0568026039328435,0.061507659560676574,0.923504557620314,local
bo,56,bo,e2012bebb22a,True,0.8,0.9411764705882353,0.85,0,6.352941176470588,1.0148,0.830,8,10111000010111,27.75,0.683,1.290,30,6,18.000001907348633,0.051265742855895274,0.05658684147211569,0.9059657956197732,local
bo,57,bo,68292a84a9d8,True,1,1,1,0,7.05,1.0107,0.856,9,10011001110111,25.99,0.706,1.144,31,7,17.0,0.043675179122793104,0.047261909501418946,0.9241094907830976,local
bo,58,bo,16d8379712d2,True,1,1,1,0,6.4,1.0067,0.840,10,10111001011111,26.13,0.685,1.294,67,6,18.000001907348633,0.04192924295916909,0.045790330369294814,0.9156789789681269,local
bo,59,bo,aa01989d8ab0,True,0.95,1,0.95,0,6.578947368421052,1.0046,0.813,10,10110001111111,29.27,0.706,1.224,96,6,19.000001907348633,0.040468223876588605,0.042619916193315566,0.9495143935298392,local
bo,60,bo,3a2235a57c4f,False,None,None,None,None,None,0.9911,0.800,10,11011001110111,23.94,0.685,1.170,-1,5,22.000001907348633,0.03891317609326671,0.041111855274138714,0.9465195825824216,local
bo,61,bo,3ce816d3ab67,True,0.85,0.8947368421052632,0.95,0,6.105263157894737,1.0185,0.851,9,10101001011111,29.57,0.653,1.227,94,6,16.0,0.037582183089959004,0.04366665330487844,0.8606609448075179,local
bo,62,bo,2f8afd18746f,True,1,1,1,0,7.45,0.9969,0.800,11,10111101110111,27.34,0.706,1.265,128,6,21.000001907348633,0.036731492773424905,0.04107511464134552,0.8942517408448472,local
bo,63,bo,10fac4d98ac0,True,0.95,1,0.95,0,6.473684210526316,1.0136,0.845,8,10011000111011,27.96,0.779,1.347,66,6,17.0,0.03743280473198269,0.04245624324424532,0.8816796275788361,local
bo,64,bo,5cd54995bff5,True,0.8333333333333334,0.8771929824561403,0.95,0,6.473684210526316,0.9965,0.800,10,10001101111111,29.04,0.738,1.247,125,6,21.000001907348633,0.03670010895002845,0.04551813580770557,0.8062744288358057,local
bo,65,bo,0230dab113c2,True,0.9833333333333333,0.9833333333333333,1,0,6.95,1.0211,0.853,9,10011000111111,27.43,0.753,1.300,67,6,16.0,0.03701012825859209,0.042478147391781296,0.8712745383465766,local
bo,66,bo,4b460d29f3e4,True,0.95,1,0.95,0,6.105263157894737,1.0034,0.807,7,10001001110011,23.71,0.730,1.117,126,6,20.000001907348633,0.03691070221975769,0.04600767167778229,0.8022727704688944,local
bo,67,bo,e6220603663c,True,1,1,1,0,6.55,1.0147,0.847,10,10111001111110,28.48,0.702,1.205,97,6,17.0,0.03633764540703377,0.04139874482941715,0.8777475152148319,local
bo,68,bo,e1ef6fe0f9ad,False,None,None,None,None,None,0.9933,0.806,8,10011001110110,26.52,0.707,1.160,-1,5,21.000001907348633,0.036596962900173315,0.04160903285732297,0.8795437045043561,local
bo,69,bo,645e561158b9,True,1,1,1,0,6.65,1.0171,0.823,10,10111001101111,28.73,0.715,1.269,97,6,17.0,0.03421113899292657,0.04393168162689655,0.7787350205137898,local
bo,70,bo,618ed6e783e3,True,1,1,1,0,7.35,1.0241,0.874,11,10111001111111,28.63,0.699,1.254,67,7,15.000001907348633,0.03464696685698447,0.03769308620437675,0.9191862579021566,local
bo,71,bo,fde299d2dec7,True,1,1,1,0,7.5,1.0084,0.816,10,10011101101111,28.90,0.756,1.347,128,6,19.000001907348633,0.033562320360966846,0.04144954595998876,0.8097150302530346,local
bo,72,bo,e24611b4ca25,True,0.9,0.9,1,0,6.95,1.0131,0.869,10,10011101111110,28.60,0.747,1.244,128,6,16.0,0.03406143796231958,0.041991610999898635,0.8111486354358207,local
bo,73,bo,31c04f49fd39,False,None,None,None,None,None,0.9935,0.822,8,10011001011101,25.16,0.732,1.318,-1,4,40.99998474121094,0.034050085602915815,0.03867971198193272,0.8803086646255432,local
bo,74,bo,842a5fb260cb,True,0.9666666666666667,0.9666666666666667,1,0,7.6,1.0171,0.827,10,10111101100111,28.54,0.704,1.282,128,6,17.0,0.03431040786128553,0.04416300765817924,0.7769037862377348,local
bo,75,bo,4354a997a28d,True,0.95,0.95,1,0,6.6,1.0009,0.811,8,10011101001011,26.75,0.780,1.376,128,6,20.000001907348633,0.03308139362685678,0.0360130797133665,0.9185938522935709,local
bo,76,bo,31c7e5c22c00,False,None,None,None,None,None,1.0186,0.856,8,10010001101111,28.87,0.737,1.234,-1,4,16.0,0.03210985087746659,0.03932477866352468,0.816529729314148,local
bo,77,bo,6731f91ac4f6,False,None,None,None,None,None,1.0062,0.837,8,10011001001111,26.59,0.733,1.268,-1,5,18.000001907348633,0.030641531005990777,0.04143799898743056,0.7394548905531204,local
bo,78,bo,0e24354af69d,False,None,None,None,None,None,0.9232,0.974,9,10011001011111,28.50,0.735,1.310,-1,5,25.000001907348633,0.030607971423804416,0.03782971728520927,0.8090986034350189,global
bo,79,bo,5a00b519e26c,True,0.85,1,0.85,0,6.0588235294117645,1.0155,0.841,10,11101001110111,25.98,0.635,1.085,96,6,17.0,0.03307529673942916,0.04361165209936518,0.7584050396456,local
bo,80,bo,a079bcf30b7f,True,1,1,1,0,7.6,1.0228,0.856,10,10111101110011,26.70,0.716,1.332,98,7,16.0,0.0309220928623461,0.033188791580366396,0.9317028849172919,local
bo,81,bo,4c1ac85fdfa5,False,None,None,None,None,None,1.0028,0.820,9,10111101110001,26.54,0.726,1.364,-1,4,39.9999885559082,0.03242059229858601,0.0382881690850467,0.8467522232931151,local
bo,82,bo,ecd3ba767283,False,None,None,None,None,None,1.0034,1.150,11,10111001111111,25.15,0.673,1.076,-1,5,6.000000476837158,0.03187353739937542,0.035989963329671054,0.8856229473592727,global
bo,83,bo,e95782964f31,True,0.9833333333333333,0.9833333333333333,1,0,6.8,1.0251,0.842,10,10111001111011,26.30,0.720,1.288,66,7,16.0,0.02802346556696871,0.03057113837410306,0.9166641171173235,local
bo,84,bo,04fb5cf0e7ec,True,1,1,1,0,7.35,0.9959,1.014,10,10011001111111,28.07,0.719,1.270,92,6,14.000000953674316,0.03652219390493514,0.05312706118920858,0.6874499188815228,global
bo,85,bo,4ae1bebdad89,True,0.9833333333333333,0.9833333333333333,1,0,8.4,1.0707,0.909,11,11011001111111,22.89,0.653,1.200,67,7,6.000000476837158,0.027240517595990745,0.03506954376253288,0.7767571138206137,global
bo,86,bo,24cf2b7c4619,False,None,None,None,None,None,1.0568,1.168,11,10011101111111,24.46,0.718,1.124,-1,5,0.0,0.028830949623420928,0.037442105112268344,0.7700141201188533,global
bo,87,bo,cc2bf41ce630,True,0.9833333333333333,0.9833333333333333,1,0,7.35,1.0805,1.119,12,11011101111111,27.63,0.582,1.336,95,6,0.0,0.028944306805288735,0.036336667996298117,0.7965591894181796,global
bo,88,bo,6c25f52adffe,True,1,1,1,0,6.3,1.0121,0.818,8,10011001001111,26.68,0.724,1.327,97,6,18.000001907348633,0.026306605242733167,0.038578607793692744,0.6818961789241669,local
bo,89,bo,4c7270f37e43,False,None,None,None,None,None,0.9783,1.073,10,10111100110111,25.31,0.609,1.047,-1,5,14.000000953674316,0.030097329672199358,0.04421055976874675,0.6807724179388407,global
bo,90,bo,5dd5635d18a3,True,1,1,1,0,7.45,1.0164,0.872,10,10011001111111,25.42,0.718,1.242,67,6,16.0,0.02946234324027704,0.040451616232718014,0.7283353790063734,local
bo,91,bo,2bf163951a39,True,1,1,1,0,6.5,1.0281,0.853,8,10111001110010,25.99,0.698,1.195,97,6,15.000001907348633,0.030166407307651417,0.03742561864283486,0.8060363035155006,local
bo,92,bo,0349a1b29d81,True,1,1,1,0,7.8,1.0748,1.049,11,10111101110111,28.58,0.560,1.431,29,8,1.0,0.030658699774428057,0.03908115052554876,0.7844881576448308,global
bo,93,bo,1b065a90a74f,False,None,None,None,None,None,1.0111,0.848,10,10111101111001,27.73,0.743,1.396,-1,4,38.9999885559082,0.027676298127234895,0.039825524623591506,0.6949386954425767,local
bo,94,bo,73f7b4c10a8e,True,1,1,1,0,7.3,1.0341,0.900,10,10111001111011,26.81,0.694,1.429,30,8,12.000000953674316,0.024963516932851256,0.03405875260202403,0.7329545278580676,global
