episode,seed,success,endReason,steps,transitionStep,stepsToLift,holdSteps,holdNeeded,pulses,maxPulseN,contacts,distinctFingers,thumb,palm,forearm,mass,perturbScale,mu,maxPenMm,gripTorqueMean,retShaping,retPhase,retHold,retBonus,retDrop,lenMean,lenIndex,lenMiddle,lenRing,lenPinky,lenThumb,kFingerMean,zetaMean,inertiaScaleMean,activeGroups,mask,handSpanRatio,dtMs,pulseStep1,pulseStep2,pulseStep3,lastPulseStep,pulseActiveAtDrop,head_mode
33,6033,1,success,576,69,77,500,500,3,17.02,8,3,1,1,0,1.182,1.00,1.00,3.17,1.310,0.9033,0.10,0.200,1.00,0.00,0.970,1.056,0.845,1.198,0.863,0.888,1.259,0.640,1.203,12,01101111111111,1.022,10.0,261,17,132,261,0,deterministic
34,6034,1,success,582,77,83,500,500,3,18.35,6,3,1,1,0,1.376,1.00,1.00,1.50,2.558,0.9149,0.10,0.200,1.00,0.00,1.050,1.014,1.140,0.934,1.034,1.130,0.951,0.654,1.463,13,11111111110111,1.006,10.0,441,465,373,465,0,deterministic
35,6035,1,success,579,70,80,500,500,3,15.33,5,3,1,1,0,1.395,1.00,1.00,4.10,1.667,0.8404,0.10,0.200,1.00,0.00,1.082,1.142,1.049,1.055,1.000,1.165,1.333,0.662,1.216,10,10011110111011,1.056,10.0,138,216,110,216,0,deterministic
36,6036,1,success,606,100,107,500,500,3,2.67,4,2,1,1,0,0.278,1.00,1.00,1.19,1.244,0.9258,0.10,0.200,1.00,0.00,0.980,1.166,1.029,0.918,0.908,0.877,1.221,0.653,1.133,10,01101001111111,1.066,10.0,380,42,460,460,0,deterministic
37,6037,1,success,563,59,64,500,500,3,3.06,7,3,1,1,0,0.233,1.00,1.00,2.75,1.257,0.8482,0.10,0.200,1.00,0.00,0.926,0.856,0.881,1.186,0.873,0.833,0.840,0.684,1.244,12,11111011111011,0.943,10.0,458,58,341,458,0,deterministic
38,6038,1,success,592,79,93,500,500,3,19.26,6,4,1,1,0,1.314,1.00,1.00,2.58,1.642,0.8559,0.10,0.200,1.00,0.00,0.976,1.042,0.990,1.014,1.003,0.832,1.299,0.632,1.398,10,01110011111011,1.017,10.0,282,100,153,282,0,deterministic
39,6039,1,success,579,75,80,500,500,3,5.20,7,3,1,1,0,0.376,1.00,1.00,6.17,4.085,0.8576,0.10,0.200,1.00,0.00,1.065,0.875,1.149,1.097,1.066,1.136,2.002,0.706,1.307,11,11010111111110,0.950,10.0,304,74,24,304,0,deterministic
40,6040,1,success,571,65,72,500,500,3,3.17,3,1,1,1,0,0.391,1.00,1.00,2.00,2.046,0.7354,0.10,0.200,1.00,0.00,0.919,0.881,0.822,1.026,0.893,0.975,1.482,0.636,1.201,10,11111001101110,0.953,10.0,300,136,450,450,0,deterministic
41,6041,1,success,579,71,80,500,500,3,9.24,7,3,1,1,0,0.924,1.00,1.00,3.12,2.598,0.8317,0.10,0.200,1.00,0.00,0.925,0.800,0.866,1.064,1.084,0.808,1.824,0.600,1.269,10,10011011011111,0.921,10.0,28,185,240,240,0,deterministic
42,6042,1,success,578,67,79,500,500,3,14.15,8,3,1,1,0,0.994,1.00,1.00,4.09,3.499,0.8703,0.10,0.200,1.00,0.00,0.989,1.027,1.017,0.882,0.931,1.085,1.490,0.641,1.462,13,11101111111111,1.011,10.0,146,391,222,391,0,deterministic
43,6043,1,success,584,70,85,500,500,3,3.53,6,2,1,1,0,0.243,1.00,1.00,1.64,4.284,0.9111,0.10,0.200,1.00,0.00,0.952,0.870,1.011,1.050,0.842,0.987,1.473,0.612,1.346,12,01111101111111,0.948,10.0,135,170,195,195,0,deterministic
44,6044,1,success,577,70,78,500,500,3,4.97,6,4,1,1,0,0.359,1.00,1.00,1.71,1.082,0.8866,0.10,0.200,1.00,0.00,0.933,0.813,0.883,1.181,0.863,0.923,1.252,0.604,1.285,12,01111111011111,0.926,10.0,116,202,127,202,0,deterministic
45,6045,1,success,596,92,97,500,500,3,17.65,4,1,1,1,0,1.264,1.00,1.00,4.57,1.822,0.9072,0.10,0.200,1.00,0.00,0.922,1.173,0.809,0.800,0.981,0.850,1.109,0.716,1.252,10,11111100001111,1.068,10.0,293,7,25,293,0,deterministic
46,6046,1,success,596,88,97,500,500,3,4.82,8,3,1,1,0,0.367,1.00,1.00,4.02,2.783,0.9049,0.10,0.200,1.00,0.00,1.095,1.156,1.198,1.137,1.170,0.812,1.801,0.674,1.086,11,11101110110111,1.062,10.0,450,160,171,450,0,deterministic
47,6047,1,success,592,77,93,500,500,3,7.28,5,2,1,1,0,0.525,1.00,1.00,4.04,2.463,0.8894,0.10,0.200,1.00,0.00,0.910,1.082,0.867,0.838,0.953,0.812,2.157,0.748,1.247,10,10011111101110,1.032,10.0,309,337,161,337,0,deterministic
48,6048,1,success,598,84,99,500,500,3,5.53,7,3,1,1,0,0.410,1.00,1.00,4.78,1.877,0.9118,0.10,0.200,1.00,0.00,1.052,1.103,1.025,0.980,1.014,1.137,1.020,0.665,1.138,13,10111111111111,1.041,10.0,444,419,148,444,0,deterministic
